,trainidx,testidx,validx,nfidx
188,mp-1188308,mp-1217683,mp-1225203,mp-573078
189,mp-542573,mp-8409,mp-1179774,mp-625172
190,mp-1080445,mp-2234,mp-10870,mp-557330
191,mp-676020,mp-1186993,mp-505570,mp-759472
192,mp-1186827,mp-505702,mp-9512,mp-766289
193,mp-571233,mp-1206418,mp-8352,mp-541946
194,mp-1191473,mp-1080816,mp-13868,mp-641010
195,mp-17009,mp-981390,mp-1079500,mp-540942
196,mp-2988,mp-1217894,mp-1017446,mp-43114
197,mp-1219008,mp-567997,mp-541381,mp-4400
198,mp-1215329,mp-18182,mp-1190181,mp-560275
199,mp-1101972,mp-644492,mp-35906,mp-864942
200,mp-49,mp-998604,mp-11527,mp-768159
201,mp-755323,mp-6875,mp-10275,mp-28348
202,mp-1077098,mp-1102687,mp-1186758,mp-705479
203,mp-1217705,mp-1196068,mp-1227261,mp-778150
204,mp-1080146,mp-1217428,mp-1018781,mp-1181929
205,mp-510113,mp-1076932,mp-504450,mp-631382
206,mp-9577,mp-949029,mp-984534,mp-542067
207,mp-1225654,mp-1105294,mp-1096950,mp-766947
208,mp-1002207,mp-2285,mp-10143,mp-16800
209,mp-1223637,mp-1219840,mp-4002,mp-867924
210,mp-866199,mp-604516,mp-1219859,mp-1179768
211,mp-1191656,mp-571400,mp-997007,mp-1179007
212,mp-1018807,mp-1189495,mp-556892,mp-973940
213,mp-999393,mp-554889,mp-4408,mp-561434
214,mp-1226340,mp-28464,mp-542185,mp-626182
215,mp-1222685,mp-1232036,mp-1092248,mp-766301
216,mp-10302,mp-3895,mp-567164,mp-4877
217,mp-1029403,mp-1210116,mp-1103373,mp-1030015
218,mp-3579,mp-3323,mp-1206755,mp-561543
219,mp-1571,mp-1029073,mp-1077053,mp-769001
220,mp-1206270,mp-1206170,mp-28019,mp-866943
221,mp-21065,mp-27723,mp-867142,mp-30570
222,mp-10489,mp-1226279,mp-1025685,mp-24367
223,mp-28007,mp-978254,mp-1078510,mp-755950
224,mp-1029262,mp-1025129,mp-11693,mp-1181891
225,mp-1189491,mp-1226051,mp-1070400,mp-531952
226,mp-1102841,mp-972607,mp-695,mp-5577
227,mp-1206095,mp-4445,mp-1217024,mp-18469
228,mp-1185970,mp-1187294,mp-1094118,mp-780240
229,mp-1191070,mp-1223918,mp-867842,mp-778180
230,mp-867881,mp-34036,mp-1184836,mp-23645
231,mp-505799,mp-1178534,mp-1104257,mp-736665
232,mp-10928,mp-1078328,mp-997182,mp-567966
233,mp-1187881,mp-1120780,mp-607436,mp-675744
234,mp-1190738,mp-20354,mp-903,mp-35039
235,mp-1192140,mp-1222322,mp-1187421,mp-569984
236,mp-864798,mp-1184322,mp-1078784,mp-780239
237,mp-863648,mp-1187268,mp-8020,mp-572670
238,mp-1184998,mp-570100,mp-29904,mp-768399
239,mp-1205954,mp-556806,mp-1980,mp-540847
240,mp-22332,mp-867923,mp-1191485,mp-722280
241,mp-22885,mp-23539,mp-631508,mvc-7416
242,mp-23341,mp-23097,mp-1863,mp-775971
243,mp-1079049,mp-1223791,mp-865442,mp-25871
244,mp-1207785,mp-1018697,mp-1186187,mp-865925
245,mp-568562,mp-1215480,mp-1187530,mp-18378
246,mp-1102114,mp-22517,mp-1216452,mp-540689
247,mp-1173137,mp-1027391,mp-1077097,mp-1104903
248,mp-16363,mp-862932,mp-866280,mp-30088
249,mp-1184106,mp-313,mp-1185608,mp-1032273
250,mp-556275,mp-979964,mp-975044,mp-30335
251,mp-1225500,mp-1214407,mp-568366,mp-8714
252,mp-5229,mp-1069538,mp-607169,mp-569666
253,mp-1114283,mvc-1220,mp-1226545,mp-1178877
254,mp-9948,mp-680301,mp-1228854,mp-40373
255,mp-753211,mp-1216767,mp-1018684,mp-757349
256,mp-1217327,mp-1220446,mp-982448,mp-760088
257,mp-1069898,mp-1215980,mp-1184682,mp-757205
258,mp-1184580,mp-22909,mp-7045,mp-674436
259,mp-1008374,mp-1458,mp-1184585,mp-684620
260,mp-1183854,mp-1187081,mp-14532,mp-679999
261,mp-27916,mp-9179,mp-862723,mp-30718
262,mp-1184510,mp-1224795,mp-30,mp-631637
263,mp-776165,mp-11312,mp-571044,mp-862774
264,mp-1113625,mp-10781,mp-1024962,mp-24640
265,mp-21405,mp-1220177,mp-8637,mp-1027801
266,mp-1016819,mp-567982,mp-17904,mp-759377
267,mp-24546,mp-9427,mp-556112,mp-1001079
268,mp-1320,mp-3650,mp-756401,mp-2802
269,mp-505284,mp-1080524,mp-18614,mp-558947
270,mp-1009648,mp-10281,mp-620571,mp-1014332
271,mp-1064405,mp-862743,mp-1077953,mp-560658
272,mp-3337,mp-560860,mp-615420,mp-770392
273,mp-505225,mp-1191537,mp-24201,mp-14778
274,mp-771046,mp-504674,mp-11260,mp-865175
275,mp-1227937,mp-557914,mp-567981,mp-603276
276,mp-27981,mp-22627,mp-1219442,mp-769344
277,mp-7132,mp-1092251,mp-602393,mp-694955
278,mp-1072033,mp-1191100,mp-628568,mp-16818
279,mp-556288,mp-1078341,mp-610917,mp-607841
280,mp-1205618,mp-1187454,mp-978114,mp-767633
281,mp-1186224,mp-1101769,mp-768516,mp-18460
282,mp-1221689,mp-30164,mp-1206331,mp-766345
283,mp-1194260,mp-12759,mp-1009496,mp-560587
284,mp-1191153,mp-754992,mp-1111960,mp-555105
285,mp-1183201,mvc-2546,mp-1190968,mp-3847
286,mp-552028,mp-1071690,mp-583800,mp-754885
287,mp-1017987,mp-979013,mp-573,mp-569308
288,mp-1095520,mp-1080753,mp-769381,mp-559873
289,mp-1077556,mp-978851,mp-1215508,mp-1027410
290,mp-569168,mp-1114640,mp-20026,mp-12807
291,mp-1205555,mp-1191068,mp-631543,mp-541738
292,mp-4934,mp-4423,mp-755057,mp-570900
293,mp-1080068,mp-1019315,mp-3076,mp-758243
294,mp-10405,mp-1857,mp-2388,mp-989583
295,mp-10108,mp-1187511,mp-1183891,mp-759489
296,mp-23100,mp-1224792,mp-555283,mp-556567
297,mp-12977,mp-1079845,mp-22066,mp-752581
298,mp-617281,mp-758218,mp-4478,mp-768296
299,mp-1105102,mp-1192743,mp-31453,mp-677195
300,mp-17435,mp-9370,mp-637179,mp-695237
301,mp-5082,mp-6580,mp-559391,mp-973261
302,mp-559535,mp-567836,mp-1224639,mp-14209
303,mp-2018,mp-1080719,mp-3682,mp-753709
304,mp-861588,mp-12684,mp-5977,mp-650928
305,mp-1206017,mp-1078878,mp-1226243,mp-21538
306,mp-4431,mp-1178454,mp-1191670,mp-983556
307,mp-1222942,mp-556163,mp-1077428,mvc-10029
308,mp-28128,mp-20714,mp-1021659,mp-773135
309,mp-999470,mp-17959,mp-673763,mp-756459
310,mp-1217750,mp-626413,mp-1187034,mp-12210
311,mp-10130,mp-39681,mvc-2426,mp-568020
312,mp-849331,mp-23703,mp-1226605,mp-757569
313,mp-22188,mp-571505,mp-653861,mp-30245
314,mp-12920,mp-22960,mp-5850,mp-760786
315,mp-15635,mp-1184575,mp-22772,mp-36538
316,mp-1193616,mp-1185497,mp-15275,mp-676780
317,mp-568692,mp-579628,mp-555949,mp-756452
318,mp-1228346,mp-17944,mp-865493,mp-754150
319,mp-9132,mp-1226000,mp-754468,mp-978100
320,mp-9351,mp-1200443,mp-557920,mp-767070
321,mp-1097017,mp-30082,mp-677056,mp-13738
322,mp-973432,mp-1186176,mp-1227630,mp-757149
323,mp-1603,mp-2245,mp-23955,mp-568556
324,mp-979291,mp-1173109,mp-1080083,mp-4816
325,mp-1114081,mp-1078674,mp-540546,mp-976139
326,mp-1227051,mp-10426,mp-12049,mp-1017109
327,mp-1079012,mp-1018160,mp-1215464,mp-677378
328,mp-571589,mp-567914,mp-37919,mp-624417
329,mp-1095186,mp-557786,mp-567983,mp-32644
330,mp-510569,mp-1105300,mp-1009735,mp-1179653
331,mp-30057,mp-7467,mp-631557,mp-776439
332,mp-1102674,mp-1076961,mp-675010,mp-759526
333,mp-1228392,mp-1193806,mp-571225,mp-667447
334,mp-608431,mp-11755,mp-7951,mp-768114
335,mp-1224997,mp-10457,mp-11281,mp-568560
336,mp-1225589,mp-974372,mp-998234,mp-676637
337,mp-1183690,mp-23060,mp-22089,mp-559292
338,mp-555846,mp-1225567,mp-573030,mp-30792
339,mp-36988,mp-20567,mp-11272,mvc-6075
340,mp-1205299,mp-757616,mp-1027580,mp-753031
341,mp-21915,mp-1220590,mp-20628,mp-755205
342,mp-1205580,mp-1183649,mp-1008680,mp-559655
343,mp-13108,mp-1206596,mp-571592,mp-684674
344,mp-1027594,mp-1068348,mp-754214,mp-976743
345,mp-685138,mp-973165,mp-1102743,mp-1013874
346,mp-754191,mp-1178654,mp-23612,mp-556178
347,mp-1103028,mp-1345,mp-1080181,mp-1028653
348,mp-1226918,mp-1102364,mp-1189645,mvc-2355
349,mp-555682,mp-15012,mp-30449,mvc-7658
350,mp-568916,mp-473,mp-1191492,mvc-9584
351,mp-1226252,mp-1080058,mp-550998,mp-758291
352,mp-561130,mp-1068239,mp-1067900,mp-695553
353,mp-1225366,mp-411,mp-758953,mp-698292
354,mp-1193611,mp-11007,mp-1188281,mp-556689
355,mp-1102879,mp-975452,mp-568470,mp-541956
356,mp-8812,mp-979269,mp-1186961,mp-626136
357,mp-546190,mp-27861,mp-583,mp-550798
358,mp-28088,mp-555387,mp-1070806,mp-25881
359,mp-542065,mp-1025425,mp-672325,mp-677014
360,mp-2644,mp-1194055,mp-1206302,mp-720817
361,mp-4725,mp-1192625,mp-1106389,mp-1004532
362,mp-981,mp-977351,mp-1186872,mp-674842
363,mp-1078,mp-977385,mp-1111106,mp-504350
364,mp-1219541,mp-5241,mp-1105286,mp-35040
365,mp-11190,mp-10816,mp-556434,mp-600052
366,mp-7506,mp-1188995,mp-20808,mp-697313
367,mp-10764,mp-774803,mp-1183808,mp-31069
368,mp-5423,mp-1224922,mp-30481,mp-14132
369,mp-1217015,mp-636559,mp-22192,mp-1204065
370,mp-570595,mp-15161,mp-30416,mvc-8710
371,mp-1184364,mp-30219,mp-3051,mp-29783
372,mp-20389,mp-973553,mp-573390,mp-673096
373,mp-864638,mp-21002,mp-542830,mp-867708
374,mp-557569,mp-1025302,mp-1183571,mp-677416
375,mp-1187756,mp-11407,mvc-16793,mp-541214
376,mp-28638,mp-1183914,mp-1080495,mp-6426
377,mp-1191408,mp-541152,mp-23541,mp-13897
378,mp-979421,mp-1025523,mp-20430,mp-560550
379,mp-864645,mp-542484,mp-19885,mp-973316
380,mp-1206541,mp-546546,mp-1207057,mp-698317
381,mp-1111627,mp-867192,mp-569637,mp-559875
382,mp-7280,mp-6278,mp-754392,mp-765277
383,mp-30152,mp-13392,mp-1227330,mp-542678
384,mp-1111047,mp-23093,mp-1191780,mp-581644
385,mp-754469,mp-10931,mp-22461,mp-686467
386,mp-5401,mp-984697,mp-1201540,mp-756830
387,mp-557874,mp-1185438,mp-1018663,mp-36100
388,mp-8232,mp-1186975,mp-1167,mp-5909
389,mp-865047,mp-36383,mp-510484,mp-774336
390,mp-1895,mp-568967,mp-8850,mp-766328
391,mp-2006,mp-1186692,mp-384,mp-23384
392,mp-1101329,mp-16223,mp-505242,mp-27925
393,mp-10660,mp-1219732,mp-1183824,mp-17504
394,mp-621994,mp-754940,mp-1226242,mp-757142
395,mp-1220865,mp-13430,mp-15722,mp-766034
396,mp-1214759,mp-1225769,mp-3942,mp-37496
397,mp-1190564,mp-7422,mp-568098,mp-16002
398,mp-29725,mp-1008873,mp-1206043,mp-675103
399,mp-560605,mp-753801,mp-1027395,mp-989579
400,mp-21364,mp-557680,mp-15986,mp-720432
401,mp-568014,mp-1102196,mp-1077978,mp-638086
402,mp-1883,mvc-13140,mp-443,mp-646116
403,mp-1191254,mp-4425,mp-1100417,mp-680422
404,mp-11703,mp-1067236,mp-867309,mp-768556
405,mp-8790,mp-27322,mp-1029347,mp-569427
406,mp-760386,mp-1187810,mp-1183565,mp-558879
407,mp-1218938,mp-568668,mp-556985,mp-39387
408,mp-23260,mp-27478,mp-1103614,mvc-1255
409,mp-1193531,mp-27764,mp-1079462,mp-39123
410,mp-4978,mp-1183248,mp-756630,mp-766123
411,mp-769610,mp-1186539,mp-1018026,mp-21390
412,mp-614006,mp-1025986,mp-8053,mp-677179
413,mp-23189,mp-1079498,mp-19933,mp-976055
414,mp-12699,mp-568058,mp-165,mp-693340
415,mp-1191870,mp-1225262,mp-10670,mp-754204
416,mp-864878,mp-1114333,mp-1540016,mp-638018
417,mp-11875,mp-3501,mp-20935,mp-541758
418,mp-1232230,mp-1216381,mp-1999,mp-21587
419,mp-560326,mp-1186300,mp-1190711,mp-703343
420,mp-1189981,mp-1220682,mp-5786,mp-4350
421,mp-1079167,mp-1228436,mp-1984,mp-561117
422,mp-1183629,mp-27683,mp-631521,mp-781634
423,mp-1079214,mp-864665,mp-5244,mp-753342
424,mp-2373,mp-1205715,mp-631547,mp-720112
425,mp-554765,mp-568791,mp-1103280,mp-765222
426,mp-1224009,mp-568726,mp-1193796,mp-861867
427,mp-984102,mp-1009264,mp-1187162,mp-5572
428,mp-1215922,mp-675893,mp-568506,mp-17909
429,mp-16560,mp-1188304,mp-4608,mp-866538
430,mp-22469,mp-698633,mp-1221080,mp-756795
431,mp-866774,mp-7343,mp-568588,mp-772018
432,mp-11638,mp-1886,mp-1215927,mp-776255
433,mp-1183392,mp-12455,mp-22471,mp-530722
434,mp-1217829,mp-1219507,mp-567191,mp-769138
435,mp-707250,mp-14552,mp-563025,mp-18628
436,mp-611517,mp-1192937,mp-1182139,mp-33569
437,mp-1216538,mp-1106277,mp-1091370,mp-531820
438,mp-6637,mp-561511,mp-865221,mp-559984
439,mp-974834,mp-981310,mp-13853,mp-18625
440,mp-1186005,mp-1188411,mp-1114062,mp-758985
441,mp-12243,mp-1018089,mp-1095086,mp-684031
442,mp-975195,mp-1201626,mp-559332,mp-605684
443,mp-567841,mp-769394,mp-865459,mp-1027119
444,mp-1220386,mp-867352,mp-20886,mp-766267
445,mp-28626,mp-1215637,mp-20959,mp-530953
446,mp-11690,mp-570683,mp-1103546,mp-760490
447,mp-570130,mp-1224925,mp-27441,mp-557362
448,mvc-15351,mp-18164,mp-865535,mp-770481
449,mp-224,mp-1114374,mp-636675,mp-30749
450,mp-1103853,mp-998945,mp-21038,mp-641919
451,mp-1188683,mp-17730,mp-1190732,mp-600059
452,mp-29246,mp-8934,mp-1220316,mp-777297
453,mp-14150,mp-1215946,mp-1229019,mp-32640
454,mp-4439,mp-169,mp-4088,mp-1029442
455,mp-28989,mp-9954,mp-20729,mp-865812
456,mp-32927,mp-1025851,mp-1078002,mp-568397
457,mp-1225406,mp-570734,mp-28796,mp-685216
458,mp-1187004,mp-1183239,mp-11928,mp-505396
459,mp-1025208,mp-22220,mp-19856,mp-759715
460,mp-1192799,mp-22770,mp-8644,mp-605835
461,mp-1095537,mp-23220,mp-1112186,mp-754206
462,mp-985450,mp-1206160,mp-2173,mp-757590
463,mp-1078098,mp-23155,mp-1111912,mp-600217
464,mp-998412,mp-631361,mp-1002224,mp-568606
465,mp-310,mp-28997,mp-504748,mp-645316
466,mp-1186677,mp-1216047,mp-1187273,mp-504826
467,mp-1208559,mp-1178762,mp-19970,mp-4779
468,mp-1232314,mp-1101764,mp-1183250,mp-867178
469,mp-559545,mp-974469,mp-690771,mp-778385
470,mp-7643,mp-1183458,mp-554947,mp-722271
471,mp-1187580,mp-1188194,mp-1220225,mp-756127
472,mp-1205858,mp-555946,mp-1079700,mp-773003
473,mp-8558,mp-1187239,mp-4136,mp-644802
474,mp-3709,mp-21049,mp-24202,mvc-1912
475,mp-1206531,mp-9889,mp-7461,mp-777129
476,mp-8678,mp-28705,mp-1205921,mp-561455
477,mp-1184350,mp-1202152,mp-757504,mp-35417
478,mp-1095100,mp-1184757,mp-978985,mp-866565
479,mp-414,mp-9628,mp-30275,mp-21960
480,mp-28586,mp-2172,mp-1216799,mp-30230
481,mp-1311,mp-1184096,mp-740,mp-554964
482,mp-1207457,mp-10963,mp-641845,mp-976404
483,mp-898,mp-1018729,mp-1007852,mp-978279
484,mp-973830,mp-1026027,mp-11801,mp-30977
485,mp-1078830,mp-1186026,mp-643367,mp-753689
486,mp-1186536,mp-7918,mp-22012,mp-769713
487,mp-780060,mp-631531,mp-1192042,mp-760595
488,mp-1056857,mp-1104177,mp-631471,mp-1013762
489,mp-1221531,mp-2768,mp-20320,mp-581834
490,mp-36029,mp-4487,mp-1029257,mp-761042
491,mp-567406,mp-1187204,mp-7885,mp-559309
492,mp-22142,mvc-516,mp-866922,mp-777730
493,mp-571636,mp-862682,mp-549580,mp-767415
494,mp-976881,mp-1223827,mp-510011,mp-674972
495,mp-562072,mp-567756,mp-975606,mp-15501
496,mp-1194753,mp-1068011,mp-8539,mp-738714
497,mp-558163,mp-27484,mp-367,mp-559911
498,mp-1186049,mp-567534,mp-1008349,mp-730823
499,mp-31112,mp-1185118,mp-1226940,mp-753197
500,mp-1187503,mp-1207116,mp-676573,mp-558203
501,mp-104,mp-973603,mp-1005986,mp-625113
502,mp-1021668,mp-19953,mp-867745,mp-559350
503,mp-1103450,mp-1183608,mp-557401,mp-530217
504,mp-973974,mp-686019,mp-971704,mp-989536
505,mp-1028478,mp-5936,mp-1696,mp-768573
506,mp-1184254,mp-1114030,mp-12875,mp-29119
507,mp-1188024,mp-1078945,mp-1184156,mp-27161
508,mp-1194313,mp-189,mp-2078,mp-771238
509,mp-41057,mp-1217073,mp-1013554,mp-1182361
510,mp-582751,mp-999389,mp-561491,mp-504962
